policy_type,threshold,action_delay,timeout,score_point_s,score_mode,cutoff_rate,mean_latency,timeout_rate,detect_rate,f1,n_hold_spans,n_eot_spans,is_pareto
model,0.9,0.6,3.5,0.2,score_point,0.00425531914893617,2.4922500000000003,0.6525,0.3475,0.5129151291512916,705,400,False
model,0.91,0.6,3.5,0.2,score_point,0.00425531914893617,2.5864999999999996,0.685,0.315,0.4763705103969755,705,400,False
model,0.92,0.4,3.5,0.2,score_point,0.00425531914893617,2.6319999999999997,0.72,0.28,0.43495145631067966,705,400,False
model,0.93,0.3,3.5,0.2,score_point,0.00425531914893617,2.716,0.755,0.245,0.39121756487025944,705,400,False
model,0.94,0.3,3.5,0.2,score_point,0.00425531914893617,2.852,0.7975,0.2025,0.3347107438016529,705,400,False
model,0.79,0.8,3.5,0.2,score_point,0.005673758865248227,1.8800000000000003,0.4,0.6,0.7453416149068324,705,400,True
model,0.8,0.8,3.5,0.2,score_point,0.005673758865248227,1.9340000000000002,0.42,0.58,0.7295597484276729,705,400,False
model,0.79,0.9,3.5,0.2,score_point,0.005673758865248227,1.94,0.4,0.6,0.7453416149068324,705,400,False
model,0.81,0.8,3.5,0.2,score_point,0.005673758865248227,1.9812500000000002,0.4375,0.5625,0.7154213036565978,705,400,False
model,0.8,0.9,3.5,0.2,score_point,0.005673758865248227,1.992,0.42,0.58,0.7295597484276729,705,400,False
model,0.79,1.0,3.5,0.2,score_point,0.005673758865248227,2.0,0.4,0.6,0.7453416149068324,705,400,False
model,0.82,0.8,3.5,0.2,score_point,0.005673758865248227,2.0352500000000004,0.4575,0.5425,0.6988727858293075,705,400,False
model,0.83,0.7,3.5,0.2,score_point,0.005673758865248227,2.037,0.4775,0.5225,0.6818923327895595,705,400,False
model,0.81,0.9,3.5,0.2,score_point,0.005673758865248227,2.0375,0.4375,0.5625,0.7154213036565978,705,400,False
model,0.8,1.0,3.5,0.2,score_point,0.005673758865248227,2.05,0.42,0.58,0.7295597484276729,705,400,False
model,0.85,0.6,3.5,0.2,score_point,0.005673758865248227,2.05725,0.5025,0.4975,0.6600331674958541,705,400,False
model,0.84,0.7,3.5,0.2,score_point,0.005673758865248227,2.0649999999999995,0.4875,0.5125,0.6732348111658456,705,400,False
model,0.82,0.9,3.5,0.2,score_point,0.005673758865248227,2.0894999999999997,0.4575,0.5425,0.6988727858293075,705,400,False
model,0.81,1.0,3.5,0.2,score_point,0.005673758865248227,2.09375,0.4375,0.5625,0.7154213036565978,705,400,False
model,0.82,1.0,3.5,0.2,score_point,0.005673758865248227,2.14375,0.4575,0.5425,0.6988727858293075,705,400,False
